nom,prix,adresse,image
Pigeon mondain brun,500 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4230459_uploaded_image1_1685044108.jpg""); width: 403px;"
Lapin Gris de Touraine,35 000 CFA,"Dakar, Sénégal",""
Lapine,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4235319_uploaded_image2_1685440928.jpeg""); width: 397px;"
Pigeons Mondains,50 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4240446_uploaded_image1_1685727771.jpg""); width: 394px;"
Poussins Brahmans,30 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4243414_uploaded_image2_1685971475.jpeg""); width: 449px;"
Lapereaux,45 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4244917_uploaded_image2_1686063555.jpeg""); width: 446px;"
Lapin californien,Prix sur demande,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/4248635_uploaded_image1_1686257041.jpg""); width: 604px;"
Lapines,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4249408_uploaded_image1_1686311889.jpg""); width: 397px;"
Poussins cochin,7 500 CFA,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/4255246_uploaded_image1_1686680990.jpg""); width: 434px;"
Poule Bleu Hollandais,7 000 CFA,"Mbao, Dakar, Sénégal",""
Lapin,30 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4268327_uploaded_image1_1687541319.jpg""); width: 397px;"
Lapereaux,10 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4268955_uploaded_image1_1687603560.jpg""); width: 397px;"
Pigeon Boulan,45 000 CFA,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/4277890_uploaded_image1_1688316619.jpg""); width: 499px;"
Pigeon Boulan,15 000 CFA,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/4277905_uploaded_image1_1688318584.jpg""); width: 499px;"
Poulets de chair,4 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4283570_uploaded_image2_1688648209.jpeg""); width: 417px;"
Pigeons,20 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4283652_uploaded_image2_1688651905.jpeg""); width: 379px;"
Pigeon Messager,25 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4286623_uploaded_image1_1688830929.jpg""); width: 417px;"
Lapins,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4287411_uploaded_image2_1688907004.jpeg""); width: 394px;"
Pigeons,Prix sur demande,"Dakar, Sénégal",""
Poulets  bleu Holland,6 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4287658_uploaded_image1_1688923156.jpg""); width: 400px;"
Lapin nain Loutre,30 000 CFA,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4289564_uploaded_image1_1689066044.jpg""); width: 579px;"
Coq hermine,60 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4290479_uploaded_image1_1689101063.jpg""); width: 522px;"
Poussins Brahmanes,30 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4290482_uploaded_image1_1689101216.jpg""); width: 522px;"
Lapin,80 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4296184_uploaded_image2_1689472722.jpeg""); width: 416px;"
Lapin,15 000 CFA,"Ouakam, Dakar, Sénégal",""
Lapin,Prix sur demande,"Niaga, Sénégal",""
Poules,Prix sur demande,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4302571_uploaded_image1_1689893299.jpg""); width: 389px;"
Lapin,40 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4312499_uploaded_image1_1690566200.jpg""); width: 397px;"
Poussins de chair,Prix sur demande,"Dakar, Sénégal",""
Lapereaux,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4324644_uploaded_image1_1691345949.jpg""); width: 397px;"
Lapereaux,10 000 CFA,"Niaga, Sénégal",""
Lapins,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4336471_uploaded_image1_1692120444.jpg""); width: 397px;"
Lapin,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4337664_uploaded_image2_1692903389.jpeg""); width: 397px;"
Lapin,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4337665_uploaded_image1_1692197761.jpg""); width: 397px;"
Lapin   Papillon,90 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4347215_uploaded_image1_1692800912.jpg""); width: 417px;"
Lapin,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4359251_uploaded_image1_1693583547.jpg""); width: 397px;"
Pigeons de race,350 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4368566_uploaded_image1_1694179237.jpg""); width: 411px;"
Lapin,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4368816_uploaded_image2_1694188598.jpeg""); width: 397px;"
Poule Brahman herminé,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4369295_uploaded_image1_1694214443.jpg""); width: 610px;"
Pigeons Culbutant français,50 000 CFA,"Dakar, Sénégal",""
Lapereau,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4381621_uploaded_image1_1695057585.jpg""); width: 397px;"
Lapins,20 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4384422_uploaded_image2_1695232906.jpeg""); width: 397px;"
Poule Brahma,25 000 CFA,"Medina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4389249_uploaded_image1_1695564020.jpg""); width: 378px;"
Poussins,26 500 CFA,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/4399877_uploaded_image1_1696286458.jpg""); width: 570px;"
Cochin et Brahma,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4401630_uploaded_image1_1696382057.jpg""); width: 572px;"
Pigeon voyageur,8 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4406771_uploaded_image2_1696680729.jpeg""); width: 375px;"
Pigeon voyageur,8 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4406776_uploaded_image1_1696680924.jpg""); width: 375px;"
Lapin,35 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4408360_uploaded_image1_1696785290.jpg""); width: 432px;"
Pigeon,2 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4418898_uploaded_image1_1697460446.jpg""); width: 597px;"
Pigeon voyageur,5 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4418908_uploaded_image2_1697460940.jpeg""); width: 597px;"
Pigeons,3 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4418917_uploaded_image1_1697461219.jpg""); width: 597px;"
Pigeons voyageur de compétition,15 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4418928_uploaded_image1_1697461664.jpg""); width: 597px;"
Cochons d'Inde,15 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4425812_uploaded_image1_1697988348.jpg""); width: 374px;"
Lapereau,10 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4425850_uploaded_image1_1697991508.jpg""); width: 397px;"
Lapereau,10 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4433087_uploaded_image1_1698427048.jpg""); width: 397px;"
Lapins,Prix sur demande,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4434579_uploaded_image1_1698581736.jpg""); width: 369px;"
Lapin,Prix sur demande,"Niaga, Sénégal",""
Coqs,Prix sur demande,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4444985_uploaded_image1_1699208691.jpg""); width: 546px;"
Poule Soie,75 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4453909_uploaded_image1_1699725929.jpg""); width: 369px;"
Lapin,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4453957_uploaded_image1_1699727543.jpg""); width: 414px;"
Femelle lapin demi sang + cage,40 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4464349_uploaded_image1_1700417993.jpg""); width: 473px;"
Pigeon Lahor,40 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4471579_uploaded_image1_1700864120.jpg""); width: 415px;"
Pigeon King Blanc,75 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4471585_uploaded_image2_1700864394.jpeg""); width: 415px;"
Lapin Angora male,18 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/4473399_uploaded_image1_1701019994.jpg""); width: 442px;"
Lapin Angora male,8 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/4473413_uploaded_image1_1701020741.jpg""); width: 442px;"
Couple de pigeons,20 000 CFA,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/4483308_uploaded_image1_1701626351.jpg""); width: 412px;"
Lapin,Prix sur demande,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4490937_uploaded_image1_1702037014.jpg""); width: 397px;"
Couple lapin français,40 000 CFA,"Dakar, Sénégal",""
Couple lapereau,40 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4505997_uploaded_image1_1702997024.jpg""); width: 394px;"
Poulet de chair,3 500 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4509252_uploaded_image1_1703175319.jpg""); width: 562px;"
Couple lapin,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4509856_uploaded_image1_1703213564.jpg""); width: 394px;"
Lapin fauve male,80 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4512680_uploaded_image1_1703431761.jpg""); width: 446px;"
Lapin,Prix sur demande,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4513225_uploaded_image1_1703497424.jpg""); width: 506px;"
Pigeon,Prix sur demande,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4513662_uploaded_image2_1703531881.jpeg""); width: 570px;"
Lapin,35 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4517612_uploaded_image1_1703770805.jpg""); width: 506px;"
Pigeons,5 000 CFA,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4542193_uploaded_image1_1705080975.jpg""); width: 567px;"
Pigeons,5 000 CFA,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4542217_uploaded_image1_1705082041.jpg""); width: 567px;"
Paire pigeon  jeune King,60 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4545200_uploaded_image1_1705269534.jpg""); width: 446px;"
Pigeons King,60 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4548383_uploaded_image2_1705424798.jpeg""); width: 506px;"
Poulet de chaire,5 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4555523_uploaded_image1_1705793143.jpg""); width: 602px;"
Lapereau,10 000 CFA,"Lac rose, Sénégal","background-image: url(""https://images.coinafrique.com/4556321_uploaded_image1_1705859521.jpg""); width: 397px;"
Pigeon Modain,160 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4561395_uploaded_image1_1706128448.jpg""); width: 533px;"
Pigeon Lahor,20 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4565457_uploaded_image2_1706369680.jpeg""); width: 444px;"
Couples lapereaux,100 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4587998_uploaded_image1_1707587252.jpg""); width: 440px;"
Pigeons couple Mondain,170 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4598304_uploaded_image1_1708179510.jpg""); width: 369px;"
Poussin Marans,10 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4603800_uploaded_image1_1708477906.jpg""); width: 526px;"
Lapins,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4612074_uploaded_image3_1708939673.jpeg""); width: 379px;"
Pigeons,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4612083_uploaded_image1_1708939903.jpg""); width: 379px;"
Brahman bleu Lemon,40 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4612273_uploaded_image1_1708946489.jpg""); width: 539px;"
Poulets de chairs,3 500 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4612683_uploaded_image2_1708957200.jpeg""); width: 404px;"
Poussin oie,35 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4619799_uploaded_image1_1709296095.jpg""); width: 473px;"
Pigeon voyageur Manteau Opale,Prix sur demande,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4621197_uploaded_image1_1709366454.jpg""); width: 369px;"
Pigeons,100 CFA,"Almadies 2, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4623025_uploaded_image1_1709471989.jpg""); width: 447px;"
Pigeon voyageur,15 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4624891_uploaded_image1_1709566248.jpg""); width: 394px;"
Pigeon King,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4624920_uploaded_image1_1709567189.jpg""); width: 394px;"
Pigeon Boulant,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4624925_uploaded_image1_1709567352.jpg""); width: 394px;"
Brahma,25 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4644724_uploaded_image1_1710589505.jpg""); width: 671px;"
Couple  Brahma Herminé standard,80 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4650066_uploaded_image1_1710871182.jpg""); width: 432px;"
Œufs à couver,12 500 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4651892_uploaded_image1_1710962341.jpg""); width: 602px;"
Pigeons Mondain,200 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4653298_uploaded_image1_1711039158.jpg""); width: 426px;"
Pigeon Texan,80 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4653331_uploaded_image1_1711039616.jpg""); width: 426px;"
Pigeons,50 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4662585_uploaded_image1_1711547077.jpg""); width: 426px;"
Pigeon voyageur,10 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4662603_uploaded_image1_1711547811.jpg""); width: 426px;"
Pigeon Mondain Andalou,300 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4664895_uploaded_image1_1711663431.jpg""); width: 411px;"
Pigeon voyageur à manteau,Prix sur demande,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4664901_uploaded_image1_1711663618.jpg""); width: 411px;"
Femelle andalou,250 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4667144_uploaded_image1_1711815313.jpg""); width: 369px;"
Poulets de chair,Prix sur demande,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4667518_uploaded_image1_1711842967.jpg""); width: 566px;"
Pigeon Mondain écailler,170 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4685152_uploaded_image1_1712756876.jpg""); width: 369px;"
Couple Pigeons voyageur,15 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4690857_uploaded_image1_1713063525.jpg""); width: 394px;"
Pigeon Mâle voyageur,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4690859_uploaded_image1_1713063647.jpg""); width: 394px;"
Lapereaux,13 500 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4703012_uploaded_image1_1713680804.jpg""); width: 371px;"
Pigeons King mâle,35 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4704120_uploaded_image2_1713750110.jpeg""); width: 394px;"
Lapin Angora,20 000 CFA,"Mamelles, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4714367_uploaded_image1_1714245668.jpg""); width: 408px;"
Poulet Nègre de soie,35 000 CFA,"Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4723223_uploaded_image1_1714727157.jpg""); width: 369px;"
Volaille,Prix sur demande,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4724548_uploaded_image1_1714767368.jpg""); width: 532px;"
Pigeons voyageurs,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4729764_uploaded_image1_1715037972.jpg""); width: 394px;"
Poulet,Prix sur demande,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4738369_uploaded_image1_1715444473.jpg""); width: 594px;"
Poulets de chair,1 500 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4696598_uploaded_image1_1713352074.jpg""); width: 623px;"
Couple lapereau fauve de bourgogne,40 000 CFA,"Lac rose, Sénégal","background-image: url(""https://images.coinafrique.com/4751808_uploaded_image1_1716133783.jpg""); width: 397px;"
Poulets,2 500 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4767951_uploaded_image1_1716976720.jpg""); width: 371px;"
Poulet race,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4787594_uploaded_image1_1717954434.jpg""); width: 510px;"
Texan pionnier,Prix sur demande,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4800306_uploaded_image1_1718745517.jpg""); width: 463px;"
Jeune couple Mondain,Prix sur demande,"Guediawaye, Dakar, Sénégal",""
Poule Brahma,95 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4807398_uploaded_image1_1719187421.jpg""); width: 399px;"
Poulet du pays,3 500 CFA,"Saint Louis, Sénégal",""
Jeune mâle hermine,60 000 CFA,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4810642_uploaded_image1_1719347241.jpg""); width: 522px;"
Poulet frisées,15 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4816360_uploaded_image1_1719645541.jpg""); width: 597px;"
Pigeons voyageur,7 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4816363_uploaded_image1_1719645676.jpg""); width: 597px;"
Hermines et cochins,500 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4817873_uploaded_image1_1719747122.jpg""); width: 388px;"
Cochin porteur caillouté paire,120 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4818681_uploaded_image1_1719796046.jpg""); width: 444px;"
Mâle brahman Hierminés,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4824501_uploaded_image2_1720037293.jpeg""); width: 651px;"
Poussin Herminé standard,Prix sur demande,"Dakar, Sénégal",""
Lapereaux métisse Géant et Californien,15 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4829597_uploaded_image1_1720290196.jpg""); width: 432px;"
Œufs fertiles et poussins de goliath,15 000 CFA,"Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4836511_uploaded_image1_1720629763.jpg""); width: 632px;"
Jeune Mondain 2024,150 000 CFA,"Thiaroye, Sénégal","background-image: url(""https://images.coinafrique.com/4840128_uploaded_image1_1720797760.jpg""); width: 383px;"
Paires engoura,Prix sur demande,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4841263_uploaded_image1_1720874099.jpg""); width: 369px;"
Couple pigeon mondain blanc,70 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4853197_uploaded_image1_1721514569.jpg""); width: 416px;"
Pigeons  Texan,20 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4860848_uploaded_image1_1721930260.jpg""); width: 413px;"
Pan indien blanc,35 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4860862_uploaded_image1_1721930737.jpg""); width: 413px;"
Pigeon mondain noir,170 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4862270_uploaded_image1_1722006320.jpg""); width: 369px;"
Cochin Caillouté Et Porteur Caillouté,Prix sur demande,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/4862961_uploaded_image1_1722048205.jpg""); width: 546px;"
Lapin nain,30 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4865409_uploaded_image1_1722221284.jpg""); width: 508px;"
Lapereaux Gdf,60 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4868318_uploaded_image1_1722369912.jpg""); width: 446px;"
Poules Bleu Hollande,5 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4877982_uploaded_image1_1722858918.jpg""); width: 369px;"
Pigeon Boulant Gaditano,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4884507_uploaded_image1_1723139531.jpg""); width: 394px;"
pigeon voyageur,Prix sur demande,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4917441_uploaded_image1_1724967120.jpg""); width: 473px;"
Pigeons Voyageurs  et boulants,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4920745_uploaded_image1_1725167512.jpg""); width: 394px;"
Métisse Brahma,50 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4921301_uploaded_image1_1725195914.jpg""); width: 405px;"
couples lapins,15 000 CFA,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/4932369_uploaded_image1_1725702422.jpg""); width: 537px;"
Poule Brahma,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4936101_uploaded_image1_1725915391.jpg""); width: 651px;"
Pigeon voyageur,25 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4936241_uploaded_image1_1725920934.jpg""); width: 520px;"
Poulets Fermiers,10 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4942161_uploaded_image1_1726204258.jpg""); width: 584px;"
Pigeon voyageur,15 000 CFA,"Mariste, Dakar, Sénégal",""
Pigeon voyageur,Prix sur demande,"Mariste, Dakar, Sénégal",""
Lapin,50 000 CFA,"Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4954195_uploaded_image1_1726867840.jpg""); width: 369px;"
Lapin,15 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4966470_uploaded_image1_1727557573.jpg""); width: 407px;"
Coq,3 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4975038_uploaded_image1_1727964716.jpg""); width: 379px;"
Lapins,15 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4975768_uploaded_image2_1727986044.jpeg""); width: 532px;"
Couple lapins,15 000 CFA,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/4981240_uploaded_image1_1728309289.jpg""); width: 537px;"
Poule Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4993341_uploaded_image1_1728920307.jpg""); width: 571px;"
Pigeon pan indien,10 000 CFA,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4996843_uploaded_image1_1729085675.jpg""); width: 442px;"
Rex garenne,Prix sur demande,"Almadies 2, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4998472_uploaded_image1_1729159431.jpg""); width: 623px;"
lapins mâle adulte,15 000 CFA,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/5000540_uploaded_image1_1729260478.jpg""); width: 537px;"
Couple mantau écailles de 2 mois,15 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/5043101_uploaded_image1_1731565347.jpg""); width: 371px;"
Poule Brahma,45 000 CFA,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/5044135_uploaded_image1_1731603018.jpg""); width: 432px;"
Couple adulte métisses,35 000 CFA,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/5064256_uploaded_image1_1732714222.jpg""); width: 551px;"
couple boulon saxe,45 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5069958_uploaded_image1_1733056070.jpg""); width: 520px;"
Mondain noir,150 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5078519_uploaded_image1_1733444790.jpg""); width: 369px;"
Poussin brahman,25 000 CFA,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/5080703_uploaded_image1_1733571477.jpg""); width: 432px;"
Pigeon Mondain,200 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/5085521_uploaded_image1_1733851166.jpg""); width: 426px;"
Couple lahore lavande,30 000 CFA,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5088564_uploaded_image1_1734010113.jpg""); width: 442px;"
Poussins,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5104370_uploaded_image1_1734964382.jpg""); width: 491px;"
Poussin Herminé,36 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5107651_uploaded_image1_1735215733.jpg""); width: 651px;"
Lapin,12 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/5119494_uploaded_image2_1736025705.jpeg""); width: 392px;"
Lapin,12 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/5119498_uploaded_image1_1736025924.jpg""); width: 392px;"
Mâle Brahma,Prix sur demande,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/5121430_uploaded_image1_1736164839.jpg""); width: 369px;"
Pigeon Mondain,150 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5121788_uploaded_image1_1736179154.jpg""); width: 369px;"
Femelle Barmane,35 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/5124363_uploaded_image1_1736298689.jpg""); width: 459px;"
Lapin métissage californien,15 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5148151_uploaded_image1_1737572310.jpg""); width: 523px;"
Femelle brahma caillouté,55 000 CFA,"Rufisque, Sénégal",""
Femelle brahma caillouté,55 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/5159050_uploaded_image1_1738156403.jpg""); width: 459px;"
